candidate_id,story_id,candidate_name,candidate_gender,won,first_girl,introduction_order,childhood_connection,commitment_status,primary_archetype,hair_color,confidence_score,reasoning,appearance_order,first_chapter_or_episode,favorites,story_favorites_rank
C0001,1,Chitoge Kirisaki,Female,1,1,1,Childhood Promise,Marriage,Tsundere,Blonde,1.0,"Chitoge is the first girl introduced in the manga, holds a childhood promise, and is the canonical winner who marries Raku.",1,Chapter 1,11305,1
C0002,1,Kosaki Onodera,Female,0,0,2,Childhood Promise,,Deredere,Black,1.0,"Introduced shortly after Chitoge, holds a childhood promise, but does not win.",1,Chapter 1,7715,2
C0003,1,Seishirou Tsugumi,Female,0,0,3,,,Tsundere,Blue,1.0,"Introduced as a hitman sent to kill Raku, later becomes a romantic interest.",2,Chapter 14,0,4
C0004,1,Marika Tachibana,Female,0,0,4,Childhood Promise,,Deredere,Orange,1.0,"Introduced later in the series, holds a childhood promise, does not win.",3,Chapter 33,0,4
C0005,1,Yui Kanakura,Female,0,0,5,,,Deredere,Black,0.85,Automatically recovered missing major candidate: Yui Kanakura.,4,Chapter 118,90,3
C0006,2,Ichika Nakano,Female,0,0,1,,,Onee-san,Pink,1.0,"Eldest sister, introduced alongside the others, but often listed first in the quintuplet order.",1,Chapter 1,0,1
C0007,2,Nino Nakano,Female,0,0,2,,,Tsundere,Pink,1.0,"Second sister, aggressive romantic interest.",1,Chapter 1,0,1
C0008,2,Miku Nakano,Female,0,0,3,,,Dandere,Brown,1.0,"Third sister, shy and reserved.",1,Chapter 1,0,1
C0009,2,Yotsuba Nakano,Female,1,0,4,Childhood Promise,Marriage,Genki,Orange,1.0,Confirmed as the girl from the childhood promise and the canonical winner.,1,Chapter 1,0,1
C0010,2,Itsuki Nakano,Female,0,1,5,,,Deredere,Red,1.0,"Fifth sister, but the first to interact with the protagonist in the opening chapter.",1,Chapter 1,0,1
C0011,3,Eriri Spencer Sawamura,Female,0,1,1,Childhood Friend,,Tsundere,Blonde,1.0,Eriri is the first major heroine introduced as a romantic interest and childhood friend.,1,Episode 1,0,3
C0012,3,Utaha Kasumigaoka,Female,0,0,2,,,Onee-san,Black,1.0,Utaha is introduced as the second major romantic interest.,1,Episode 1,0,3
C0013,3,Megumi Kato,Female,1,0,3,,,Kuudere,Brown,1.0,Megumi is the titular heroine and the canonical winner of the series.,1,Episode 1,0,3
C0014,3,Michiru Hyodo,Female,0,0,4,,,Genki,Black,0.85,Automatically recovered missing major candidate: Michiru Hyodo.,2,Episode 4,3,1
C0015,3,Izumi Hashima,Female,0,0,5,,,Dandere,Red,0.85,Automatically recovered missing major candidate: Izumi Hashima.,3,Episode 7,2,2
C0016,4,Ayumi Takahara,Female,0,1,1,,,Genki,Brown,1.0,First major conquest in the series.,1,Chapter 1,1,5
C0017,4,Kanon Nakagawa,Female,0,0,2,,,Genki,Pink,1.0,Second major conquest.,3,Chapter 11,1,5
C0018,4,Shiori Shiomiya,Female,0,0,3,,,Dandere,Brown,1.0,Third major conquest.,4,Chapter 23,2,4
C0019,4,Tsukiyo Kujyo,Female,0,0,4,,,Dandere,Silver,1.0,Fourth major conquest.,9,Chapter 65,1,5
C0020,4,Tenri Ayukawa,Female,0,0,5,Childhood Promise,,Dandere,Blue,1.0,Childhood friend and goddess host.,6,Chapter 40,0,8
C0021,4,Yui Goido,Female,0,0,6,,,Deredere,Black,1.0,Sixth major conquest.,8,Chapter 53,0,8
C0022,4,Mio Aoyama,Female,0,0,7,,,Tsundere,Black,1.0,Seventh major conquest.,2,Chapter 5,0,8
C0023,4,Kusunoki Kasuga,Female,0,0,8,,,Tsundere,Black,1.0,Eighth major conquest.,5,Chapter 33,4,3
C0024,4,Kanon Hinoki,Female,0,0,9,,,Genki,Green,0.85,Automatically recovered missing major candidate: Kanon Hinoki.,10,Not Applicable,625,2
C0025,4,Chihiro Kosaka,Female,0,0,10,,,Deredere,Brown,0.85,Automatically recovered missing major candidate: Chihiro Kosaka.,7,Chapter 41,772,1
C0026,5,Naru Narusegawa,Female,1,1,1,Childhood Promise,Marriage,Tsundere,Blue,1.0,"Naru is the primary heroine, the first girl introduced, and the canonical winner who marries Keitaro.",1,Chapter 1,728,2
C0027,5,Shinobu Maehara,Female,0,0,2,,,Dandere,Brown,0.95,"Introduced early as a tenant, but remains a supporting character.",1,Chapter 1,117,7
C0028,5,Mutsumi Otohime,Female,0,0,3,Childhood Promise,,Dandere,Black,0.95,"Introduced later as a rival for the childhood promise, but does not win.",2,Chapter 13,233,3
C0029,5,Motoko Aoyama,Female,0,0,4,,,Tsundere,Black,0.95,"Introduced as a tenant and rival, does not win.",1,Chapter 1,145,5
C0030,5,Kaolla Su,Female,0,0,5,,,Genki,Brown,0.95,"Introduced as a tenant, does not win.",1,Chapter 1,121,6
C0031,5,Kitsune Konno,Female,0,0,6,Childhood Friend,,Onee-san,Purple,0.95,"Introduced as a tenant and childhood friend, does not win.",1,Chapter 1,149,4
C0032,5,Kanako Urashima,Female,0,0,7,,,Yandere,Black,0.95,"Introduced late as a stepsister, does not win.",3,Chapter 80,1828,1
C0033,6,Tsukasa Nishino,Female,1,1,1,,,Deredere,Brown,0.95,The first girl introduced as a romantic interest and the canonical winner of the manga.,1,Chapter 1,121,3
C0034,6,Aya Toujou,Female,0,0,2,,,Dandere,Black,0.95,A major romantic interest and primary contender throughout the series.,1,Chapter 1,145,2
C0035,6,Satsuki Kitaooji,Female,0,0,3,,,Genki,Brown,0.95,Introduced as a major romantic rival to Aya and Tsukasa.,2,Chapter 10,149,1
C0036,6,Itsuki Minami,Female,0,0,4,,,Genki,Brown,0.95,Introduced later in the series as a romantic interest.,3,Chapter 34,73,4
C0037,6,Yui Amachi,Female,0,0,5,Childhood Friend,,Genki,Brown,0.95,The childhood friend character introduced late in the series.,4,Chapter 59,4,5
C0038,7,Moka Akashiya,Female,0,1,1,,,Deredere,Pink,1.0,The primary heroine and the first girl introduced to the protagonist.,1,Chapter 1,5,3
C0039,7,Kurumu Kurono,Female,0,0,2,,,Genki,Blue,1.0,Introduced shortly after Moka as a romantic rival.,2,Chapter 2,32,1
C0040,7,Yukari Sendo,Female,0,0,3,,,Dandere,Purple,1.0,Introduced as a romantic interest following Kurumu.,3,Chapter 3,1,6
C0041,7,Mizore Shirayuki,Female,0,0,4,,,Kuudere,Blue,1.0,Introduced as a romantic interest following Yukari.,4,Chapter 14,5,3
C0042,7,Ruby Tojo,Female,0,0,5,,,Onee-san,Red,1.0,Introduced as a romantic interest following Mizore.,5,Chapter 17,3,5
C0043,7,Kokoa Shuzen,Female,0,0,6,,,Tsundere,White,1.0,Introduced as a romantic interest following Ruby.,6,"Chapter 27 (Rosario + Vampire Season II, Chapter 1)",16,2
C0044,8,Yukino Yukinoshita,Female,1,1,1,,,Kuudere,Black,1.0,Yukino is the primary heroine and the canonical winner of the series.,1,"Volume 1, Chapter 1",0,3
C0045,8,Yui Yuigahama,Female,0,0,2,,,Genki,Pink,1.0,Yui is a major romantic interest introduced shortly after Yukino.,2,"Volume 1, Chapter 2",0,3
C0046,8,Iroha Isshiki,Female,0,0,3,,,Deredere,Brown,1.0,Iroha is introduced later in the series as a romantic interest.,4,"Volume 7, Chapter 1",0,3
C0047,8,Shizuka Hiratsuka,Female,0,0,4,,,Onee-san,Black,0.85,Automatically recovered missing major candidate: Shizuka Hiratsuka.,1,"Volume 1, Chapter 1",13,1
C0048,8,Saki Kawasaki,Female,0,0,5,,,Kuudere,Blue,0.85,Automatically recovered missing major candidate: Saki Kawasaki.,3,"Volume 3, Chapter 1",1,2
C0049,9,Taiga Aisaka,Female,1,1,1,,Marriage,Tsundere,Brown,1.0,"Taiga is the primary heroine, the first to be introduced as a romantic interest, and the canonical winner who marries the protagonist.",1,Episode 1,14,3
C0050,9,Minori Kushieda,Female,0,0,2,,,Genki,Red,1.0,Minori is a major romantic interest introduced shortly after the initial plot setup.,1,Episode 1,3111,1
C0051,9,Ami Kawashima,Female,0,0,3,,,Kuudere,Blue,1.0,Ami is introduced as a romantic interest after the initial arc involving Taiga and Minori.,2,Episode 4,1,5
C0052,9,Yasuko Takasu,Female,0,0,4,,,Deredere,Blonde,0.85,Automatically recovered missing major candidate: Yasuko Takasu.,99,Unknown,9,4
C0053,9,Inko,Female,0,0,5,,,Genki,Green,0.85,Automatically recovered missing major candidate: Inko.,99,Unknown,427,2
C0054,10,Koko Kaga,Female,1,1,1,,Marriage,Deredere,Brown,1.0,"Koko Kaga is the primary heroine and the canonical winner who marries the protagonist, Banri Tada.",1,Episode 1,1,2
C0055,10,Nana Hayashida,Female,0,0,2,Childhood Friend,,Genki,Brown,1.0,"Nana Hayashida (Linda) is the protagonist's childhood friend and a significant romantic interest, but she does not win.",1,Episode 1,3,1
C0056,11,Setsuna Ogiso,Female,0,1,1,,,Deredere,Brown,1.0,Setsuna is the first heroine introduced in the opening sequence of the visual novel and is considered the primary heroine of the Introductory Chapter.,1,Introductory Chapter,0,4
C0057,11,Kazusa Touma,Female,0,0,2,Acquaintance,,Tsundere,Black,1.0,"Kazusa is the second heroine introduced and shares a deep, complex history with the protagonist.",1,Introductory Chapter,1,2
C0058,11,Io Mizusawa,Female,0,0,3,,,Dandere,Brown,0.95,Introduced in the Coda/Closing Chapter as a heroine route.,1,Introductory Chapter,0,4
C0059,11,Koharu Hino,Female,0,0,4,,,Genki,Brown,0.95,Introduced in the Closing Chapter as a heroine route.,2,Closing Chapter,0,4
C0060,11,Chiaki Miyamoto,Female,0,0,5,,,Onee-san,Brown,0.95,Introduced in the Closing Chapter as a heroine route.,2,Closing Chapter,1,2
C0061,11,Mari Kazama,Female,0,0,6,,,Onee-san,Black,0.95,Introduced in the Closing Chapter as a heroine route.,2,Closing Chapter,6,1
C0062,12,Yuzuki Eba,Female,1,1,1,,Marriage,Deredere,Brown,1.0,"Yuzuki is the primary heroine, the first to move in with the protagonist, and the canonical winner who marries Haruto.",1,Chapter 1,4,4
C0063,12,Nanami Kanzaki,Female,0,0,2,,,Dandere,Black,0.95,"Introduced as a romantic interest during the high school arc, but does not win.",1,Chapter 1,39,1
C0064,12,Asuka Mishima,Female,0,0,3,,,Tsundere,Brown,0.95,"Introduced as a romantic interest during the college arc, but does not win.",2,Chapter 75,0,5
C0065,12,Rin Eba,Female,0,0,4,,,Deredere,Blue,0.85,Automatically recovered missing major candidate: Rin Eba.,1,Chapter 1,8,3
C0066,12,Akari Kaga,Female,0,0,5,,,Genki,Brown,0.85,Automatically recovered missing major candidate: Akari Kaga.,1,Chapter 1,21,2
C0067,13,Suzuka Asahina,Female,1,1,1,,Marriage,Tsundere,Black,1.0,She is the titular character and the primary romantic interest who eventually marries the protagonist.,1,Chapter 1,1052,1
C0068,13,Honoka Sakurai,Female,0,0,2,,,Dandere,Brown,1.0,She is a significant romantic rival introduced after Suzuka.,2,Chapter 2,2,2
C0069,13,Megumi Matsumoto,Female,0,0,3,,,Onee-san,Brown,0.85,Automatically recovered missing major candidate: Megumi Matsumoto.,1,Chapter 1,0,3
C0070,14,Hina Tachibana,Female,1,1,1,,Marriage,Onee-san,Brown,1.0,Hina is the first romantic interest introduced and is the canonical winner at the end of the manga.,1,Chapter 1,11,2
C0071,14,Rui Tachibana,Female,0,0,2,,,Kuudere,Blue,1.0,Rui is introduced shortly after Hina and serves as a primary romantic interest throughout the series but does not win.,1,Chapter 1,0,4
C0072,14,Momo Kashiwabara,Female,0,0,3,,,Deredere,Pink,0.95,Introduced as a romantic interest following the main sisters.,2,Chapter 20,34,1
C0073,14,Miyabi Amakawa,Female,0,0,4,,,Dandere,Black,0.95,Introduced as a romantic interest during the college arc.,3,Chapter 50,2,3
C0074,15,Hiromi Yuasa,Female,0,1,1,Childhood Friend,,Dandere,Black,0.95,Introduced first as the girl living in the protagonist's house; she is the primary focus of the early narrative.,1,Episode 1,19,1
C0075,15,Noe Isurugi,Female,1,0,2,,,Kuudere,Black,0.95,"The central heroine of the anime original series, she is the one the protagonist ultimately chooses.",1,Episode 1,2,3
C0076,15,Aiko Andou,Female,0,0,3,Childhood Friend,,Genki,Brown,0.95,"Introduced as a childhood friend working at the family shop, she serves as a significant romantic obstacle.",1,Episode 1,11,2
C0077,16,Madoka Ayukawa,Female,1,1,1,,,Tsundere,Black,1.0,Madoka is the primary romantic interest and the first girl introduced in the manga. She is the canonical winner of the series.,1,Chapter 1,5862,1
C0078,16,Hikaru Hiyama,Female,0,0,2,,,Genki,Brown,1.0,"Hikaru is introduced shortly after Madoka as a romantic interest for Kyosuke, but she does not win the series.",1,Chapter 1,66,2
C0079,17,Juliet Persia,Female,1,1,1,,Marriage,Tsundere,Blonde,1.0,Juliet is the titular heroine and the primary romantic interest introduced in the first chapter. She marries the protagonist at the end of the manga.,1,Chapter 1,0,3
C0080,17,Hasuki Komai,Female,0,0,2,Childhood Friend,,Dandere,Black,1.0,Hasuki is the protagonist's childhood friend who is introduced shortly after the start of the series as a romantic rival.,1,Chapter 1,0,3
C0081,17,Chartreux Westia,Female,0,0,3,,,Kuudere,Silver,0.85,Automatically recovered missing major candidate: Chartreux Westia.,2,Chapter 3,0,3
C0082,17,Kochou Wang,Female,0,0,4,,,Genki,Purple,0.85,Automatically recovered missing major candidate: Kochou Wang.,3,Chapter 10,42,2
C0083,17,Teria Wang,Female,0,0,5,,,Dandere,Purple,0.85,Automatically recovered missing major candidate: Teria Wang.,3,Chapter 10,108,1
C0084,18,Aki Adagaki,Female,1,1,1,Childhood Promise,Marriage,Tsundere,Black,1.0,Aki is the primary target of the protagonist's revenge and the eventual winner of the series.,1,Chapter 1,0,1
C0085,18,Yoshino Koiwai,Female,0,0,2,Childhood Friend,,Dandere,Brown,0.95,"Yoshino is the maid and childhood friend who orchestrates the events, but does not win the protagonist.",1,Chapter 1,0,1
C0086,18,Neko Fujinomiya,Female,0,0,3,,,Deredere,Brown,0.95,Neko is introduced later as a romantic rival who falls for the protagonist but is not the winner.,3,Chapter 12,0,1
C0087,18,Tae Futaba,Female,0,0,4,,,Genki,Brown,0.85,Automatically recovered missing major candidate: Tae Futaba.,2,Chapter 2,0,1
C0088,18,Kojuurou Shuri,Female,0,0,5,,,Dandere,Orange,0.85,Automatically recovered missing major candidate: Kojuurou Shuri.,1,Chapter 1,0,1
C0089,19,Urara Shiraishi,Female,1,1,1,,Marriage,Kuudere,Black,1.0,"She is the primary heroine, the first witch introduced, and the canonical winner who marries Yamada.",1,Chapter 1,2494,1
C0090,19,Nene Odagiri,Female,0,0,2,,,Tsundere,Black,0.95,Introduced as a major rival/witch shortly after Shiraishi.,2,Chapter 3,382,2
C0091,19,Miyabi Itou,Female,0,0,3,,,Dandere,Brown,0.95,Joins the club early on as a core member.,3,Chapter 10,50,5
C0092,19,Noa Takigawa,Female,0,0,4,,,Genki,Brown,0.95,Introduced during the witch hunt arc.,4,Chapter 25,154,3
C0093,19,Leona Miyamura,Female,0,0,5,,,Kuudere,Black,0.95,Introduced as a key figure in the witch mystery.,5,Chapter 36,58,4
C0094,19,Maria Sarushima,Female,0,0,6,,,Genki,Brown,0.95,Introduced as a witch with the power of precognition.,6,Chapter 40,43,6
C0095,19,Meiko Otsuka,Female,0,0,7,,,Dandere,Brown,0.85,Automatically recovered missing major candidate: Meiko Otsuka.,7,Chapter 56,0,7
C0096,19,Mikoto Asuka,Female,0,0,8,,,Kuudere,Brown,0.85,Automatically recovered missing major candidate: Mikoto Asuka.,8,Chapter 69,0,7
C0097,20,Subaru Konoe,Female,1,1,1,,,Dandere,Black,1.0,Subaru is the primary romantic interest and the first girl introduced in the series. She is the canonical winner in the light novel series.,1,Chapter 1,1427,1
C0098,20,Kanade Suzutsuki,Female,0,0,2,,,Kuudere,Black,1.0,"Kanade is a major heroine and the primary antagonist/schemer, introduced shortly after Subaru.",1,Chapter 1,463,2
C0099,20,Masamune Usami,Female,0,0,3,,,Tsundere,Brown,1.0,Introduced as a rival/heroine later in the series.,2,Chapter 2,127,3
C0100,20,Nakuru Narumi,Female,0,0,4,,,Dandere,Brown,1.0,Introduced as a heroine later in the series.,3,Chapter 3,82,4
C0101,21,Aoi Sakuraba,Female,1,1,1,Childhood Promise,Engagement,Dandere,Black,1.0,"Aoi is the primary heroine, the childhood promise partner, and the canonical winner.",1,Chapter 1,342,1
C0102,21,Taeko Minazuki,Female,0,0,2,,,Dandere,Brown,0.95,Introduced early as a neighbor and romantic interest.,2,Chapter 2,10,3
C0103,21,Chika Minazuki,Female,0,0,3,,,Genki,Brown,0.95,"Taeko's younger sister, introduced shortly after.",6,Chapter 19,7,5
C0104,21,Miyabi Kagurazaki,Female,0,0,4,,,Tsundere,Black,0.95,Introduced as Aoi's attendant and rival.,1,Chapter 1,9,4
C0105,21,Tina Foster,Female,0,0,5,,,Genki,Blonde,0.95,Introduced as a foreign exchange student and romantic rival.,3,Chapter 3,71,2
C0106,21,Mayu Miyuki,Female,0,0,6,,,Tsundere,Black,0.95,Introduced later in the series.,4,Chapter 10,3,6
C0107,21,Chizuru Aizawa,Female,0,0,7,,,Onee-san,Black,0.95,Introduced as a maid/caretaker figure.,5,Chapter 11,1,7
C0108,22,Akane Tendou,Female,1,1,1,,Engagement,Tsundere,Black,1.0,"Akane is the primary heroine, the first to be introduced as a romantic interest, and the canonical winner in the manga.",1,Chapter 1,820,2
C0109,22,Ukyou Kuonji,Female,0,0,2,Childhood Promise,,Genki,Brown,0.95,"Introduced as a childhood friend with a promise, does not win.",3,Chapter 34,301,3
C0110,22,Shampoo,Female,0,0,3,,,Deredere,Purple,0.95,"Introduced as a romantic rival/pursuer, does not win.",2,Chapter 18,832,1
C0111,22,Kodachi Kuno,Female,0,0,4,,,Yandere,Black,0.85,Automatically recovered missing major candidate: Kodachi Kuno.,4,Chapter 44,0,4
C0112,23,Nagi Sanzenin,Female,0,1,1,,,Tsundere,Blonde,1.0,"Nagi is the first major heroine introduced and the primary focus of the series, though the manga ends without a definitive romantic winner.",1,Chapter 1,581,2
C0113,23,Maria,Female,0,0,2,,,Onee-san,Brown,1.0,Introduced shortly after Nagi as a primary household figure.,1,Chapter 1,311,3
C0114,23,Ayumu Nishizawa,Female,0,0,3,,,Genki,Black,1.0,One of the earliest classmates to develop a crush on Hayate.,2,Chapter 2,100,6
C0115,23,Hinagiku Katsura,Female,0,0,4,,,Tsundere,Pink,1.0,Becomes a major romantic interest after the student council arc.,3,Chapter 10,2456,1
C0116,23,Isumi Saginomiya,Female,0,0,5,,,Dandere,Black,1.0,Introduced as a recurring character who develops feelings for Hayate.,4,Chapter 13,110,5
C0117,23,Izumi Segawa,Female,0,0,6,,,Kuudere,Black,1.0,A recurring character in the school setting.,4,Chapter 13,74,7
C0118,23,Athena Tennousu,Female,0,0,7,Childhood Promise,,Kuudere,Blonde,1.0,The primary childhood connection character introduced later in the series.,5,Chapter 193,250,4
C0119,23,Ruka Suirenji,Female,0,0,8,,,Deredere,Pink,1.0,Introduced in the later stages of the manga.,6,Chapter 270,69,8
C0120,23,Sakuya Aizawa,Female,0,0,9,,,Genki,Blue,0.85,Automatically recovered missing major candidate: Sakuya Aizawa.,4,Chapter 13,58,9
C0121,25,25,Female,1,1,1,,Marriage,Tsundere,Blue,1.0,"Kaname is the primary heroine and the canonical romantic partner of Sousuke Sagara, culminating in their marriage in the light novel epilogue.",1,"Volume 1, Chapter 1",0,2
C0122,25,Teletha Testarossa,Female,0,0,2,,,Dandere,Silver,1.0,Teletha is a major romantic interest who develops feelings for Sousuke but does not end up with him.,2,"Volume 2, Chapter 1",1150,1
C0123,26,Midori Kasugano,Female,1,1,1,,,Deredere,Brown,1.0,Midori is the titular character and the primary romantic interest who appears in the first chapter. She is the canonical winner as the story focuses on her relationship with Seiji.,1,Chapter 1,239,1
C0124,26,Takako Ayase,Female,0,0,2,,,Tsundere,Black,0.95,"Introduced as a classmate and romantic rival/interest for Seiji, but does not win.",1,Chapter 1,49,2
C0125,26,Nao Makinoha,Female,0,0,3,Childhood Friend,,Dandere,Brown,0.95,"Seiji's childhood friend who harbors feelings for him, but does not win.",2,Chapter 10,7,3
C0126,26,Rina,Female,0,0,4,,,Deredere,Blonde,0.85,Automatically recovered missing major candidate: Rina.,3,Chapter 20,0,4
C0127,26,Lucy Winfield,Female,0,0,5,,,Genki,Blonde,0.85,Automatically recovered missing major candidate: Lucy Winfield.,4,Chapter 30,0,4
C0128,27,Rea Sanka,Female,1,1,1,,,Dandere,Black,1.0,Rea is the primary heroine and the focus of the romantic narrative throughout the manga.,1,Chapter 1,1758,1
C0129,27,Ranko Saouji,Female,0,0,2,Childhood Friend,,Tsundere,Brown,1.0,Ranko is the childhood friend who harbors feelings for the protagonist but does not win.,1,Chapter 1,69,2
C0130,27,Darin Arnschent Kurumiya,Female,0,0,3,,,Kuudere,Blonde,0.9,A secondary character introduced later in the series with limited romantic impact.,2,Chapter 20,22,3
C0131,29,Erica Blandelli,Female,0,1,1,,,Deredere,Blonde,0.85,Automatically recovered missing major candidate: Erica Blandelli.,1,"Volume 1, Chapter 1",0,1
C0132,29,Yuri Mariya,Female,0,0,2,,,Dandere,Brown,0.85,Automatically recovered missing major candidate: Yuri Mariya.,2,"Volume 1, Chapter 3",0,1
C0133,29,Liliana Kranjcar,Female,0,0,3,,,Tsundere,Silver,0.85,Automatically recovered missing major candidate: Liliana Kranjcar.,3,"Volume 3, Chapter 1",0,1
C0134,29,Ena Seishuuin,Female,0,0,4,,,Genki,Black,0.85,Automatically recovered missing major candidate: Ena Seishuuin.,4,"Volume 4, Chapter 1",0,1
C0135,30,Tooka Yatogami,Female,0,1,1,,,Deredere,Purple,1.0,She is the first spirit encountered and the primary heroine of the series.,1,"Volume 1, Chapter 1",4675,2
C0136,30,Origami Tobiichi,Female,0,0,2,Childhood Friend,,Kuudere,White,0.95,She is a classmate and childhood acquaintance of Shido.,1,"Volume 1, Chapter 1",2374,3
C0137,30,Kotori Itsuka,Female,0,0,3,Childhood Friend,,Tsundere,Red,1.0,She is Shido's adoptive sister and childhood friend.,1,"Volume 1, Chapter 1",2183,4
C0138,30,Kurumi Tokisaki,Female,0,0,4,,,Yandere,Black,0.95,Introduced as a transfer student and major romantic interest.,3,"Volume 3, Chapter 1",23287,1
C0139,30,Yoshino Himekawa,Female,0,0,5,,,Dandere,Blue,0.95,Introduced as the second spirit.,2,"Volume 2, Chapter 1",1934,5
C0140,30,Reine Murasame,Female,0,0,6,,,Onee-san,Blue,0.9,Introduced as an analyst for Ratatoskr.,1,"Volume 1, Chapter 1",278,6
C0141,30,Kaguya Yamai,Female,0,0,7,,,Genki,Orange,0.85,Automatically recovered missing major candidate: Kaguya Yamai.,4,"Volume 4, Chapter 1",0,7
C0142,30,Yuzuru Yamai,Female,0,0,8,,,Kuudere,Orange,0.85,Automatically recovered missing major candidate: Yuzuru Yamai.,4,"Volume 4, Chapter 1",0,7
C0143,30,Miku Izayoi,Female,0,0,9,,,Deredere,Blue,0.85,Automatically recovered missing major candidate: Miku Izayoi.,5,"Volume 6, Chapter 1",0,7
C0144,30,Natsumi,Female,0,0,10,,,Dandere,Green,0.85,Automatically recovered missing major candidate: Natsumi.,6,"Volume 8, Chapter 1",0,7
C0145,31,Yukina Himeragi,Female,1,1,1,,,Tsundere,Black,0.85,Automatically recovered missing major candidate: Yukina Himeragi.,1,Episode 1,1083,1
C0146,31,Asagi Aiba,Female,0,0,2,,,Tsundere,Blonde,0.85,Automatically recovered missing major candidate: Asagi Aiba.,1,Episode 1,372,2
C0147,31,Sayaka Kirasaka,Female,0,0,3,,,Tsundere,Brown,0.85,Automatically recovered missing major candidate: Sayaka Kirasaka.,2,Episode 4,319,3
C0148,32,Claire Rouge,Female,0,1,1,,,Tsundere,Red,0.95,Claire is the first major heroine introduced and the primary romantic interest throughout the series.,1,"Volume 1, Chapter 1",117,3
C0149,32,Restia Ashdoll,Female,0,0,2,Childhood Friend,,Onee-san,Black,0.9,Restia is the childhood friend and a central figure in the protagonist's past.,2,"Volume 1, Chapter 2",161,2
C0150,32,Rinslet Laurenfrost,Female,0,0,3,,,Tsundere,Blue,0.9,Introduced early as a rival and romantic interest.,1,"Volume 1, Chapter 1",26,6
C0151,32,Ellis Fahrengart,Female,0,0,4,,,Kuudere,Blue,0.9,Introduced as a member of the team and romantic interest.,2,"Volume 1, Chapter 2",107,4
C0152,32,Fianna Ray Ordesia,Female,0,0,5,,,Deredere,Blonde,0.9,Introduced as a princess and romantic interest.,3,"Volume 1, Chapter 3",33,5
C0153,32,Terminus Est,Female,0,0,6,,,Kuudere,Silver,0.9,A spirit partner who develops romantic feelings for the protagonist.,4,"Volume 2, Chapter 1",511,1
C0154,33,Himari Noihara,Female,1,1,1,Childhood Promise,Marriage,Deredere,Black,1.0,"Himari is the titular character, the first to appear as a romantic interest, and marries the protagonist in the manga ending.",1,Chapter 1,678,1
